,duración (días),tipo_contenido
1,11,spam
2,23,video
4,3,video
6,38,spam
8,76,spam
9,6,audio
10,65,imagenes
13,55,spam
15,23,spam
18,20,spam
19,14,audio
21,60,spam
22,83,spam
24,70,spam
25,2,imagenes
28,19,audio
30,63,audio
31,75,imagenes
32,88,spam
34,16,imagenes
36,78,video
40,10,video
41,8,spam
43,36,video
44,66,imagenes
48,11,video
49,75,video
51,57,spam
52,23,imagenes
54,89,video
55,30,audio
57,76,imagenes
58,84,audio
60,22,imagenes
61,13,imagenes
68,19,imagenes
69,76,video
71,2,imagenes
73,81,video
78,41,video
81,62,imagenes
87,51,imagenes
92,72,spam
93,47,video
96,89,audio
97,14,video
99,69,imagenes
100,18,video
101,76,spam
106,30,spam
107,87,video
111,51,imagenes
113,82,video
116,6,video
118,11,video
119,21,spam
120,10,audio
122,79,spam
125,16,audio
133,84,video
135,13,video
136,51,audio
138,21,imagenes
139,81,video
142,6,video
144,60,video
149,17,spam
150,70,audio
153,24,audio
156,68,spam
158,71,spam
159,81,imagenes
164,54,video
167,82,audio
169,10,video
171,13,audio
172,14,audio
173,70,imagenes
175,39,video
176,1,audio
179,82,video
181,34,audio
183,62,spam
185,7,audio
189,13,spam
191,34,audio
192,56,spam
194,34,imagenes
195,53,spam
197,38,audio
198,71,video
199,78,video
200,17,video
201,82,audio
202,65,video
203,31,video
205,47,video
206,88,audio
207,59,spam
209,32,spam
211,10,imagenes
213,36,imagenes
214,69,spam
218,86,imagenes
220,41,spam
221,27,audio
223,21,video
225,71,video
227,88,imagenes
233,75,imagenes
235,31,imagenes
236,62,video
237,19,video
238,80,spam
239,76,video
242,34,spam
244,1,spam
245,20,audio
247,9,video
248,54,imagenes
254,8,audio
255,4,spam
256,64,video
261,37,audio
262,35,spam
263,42,video
266,47,audio
267,3,imagenes
270,87,spam
272,89,video
275,68,video
276,53,imagenes
278,84,video
282,78,audio
283,17,video
286,6,imagenes
287,9,imagenes
289,41,spam
292,29,spam
293,44,audio
294,47,imagenes
295,27,audio
296,34,video
297,1,audio
298,14,video
299,74,video
300,73,imagenes
306,20,spam
309,65,audio
310,65,audio
311,12,imagenes
314,24,spam
315,59,audio
317,67,imagenes
318,40,spam
319,47,video
321,20,audio
322,39,video
324,7,video
325,60,audio
326,69,video
328,68,video
329,80,spam
330,86,spam
333,10,imagenes
334,4,video
335,3,spam
337,26,imagenes
339,52,audio
340,68,audio
342,38,video
345,7,imagenes
346,31,imagenes
348,52,video
349,56,spam
350,84,audio
353,14,video
355,64,imagenes
357,51,video
359,61,video
361,15,video
363,15,video
365,86,spam
368,17,video
372,10,imagenes
373,73,imagenes
374,71,spam
380,24,audio
385,39,spam
389,15,imagenes
390,20,imagenes
392,26,video
395,25,spam
396,48,spam
401,56,spam
402,29,spam
404,11,spam
405,12,audio
406,49,video
409,87,imagenes
412,11,audio
413,66,audio
416,54,spam
417,68,audio
418,9,video
420,34,spam
421,50,video
422,77,audio
424,9,imagenes
425,6,video
427,34,video
429,2,imagenes
435,62,imagenes
436,87,imagenes
442,35,imagenes
443,33,spam
447,32,video
448,84,video
450,50,imagenes
455,51,imagenes
458,72,spam
459,20,video
460,18,imagenes
468,21,spam
471,34,imagenes
473,23,audio
476,70,video
477,17,imagenes
478,6,spam
485,3,audio
487,32,audio
488,2,imagenes
490,88,spam
491,12,video
493,26,imagenes
494,70,imagenes
498,62,spam
499,41,video
502,62,video
503,2,spam
504,74,imagenes
505,75,video
506,82,imagenes
507,34,spam
508,45,audio
509,56,spam
510,52,video
511,73,spam
512,86,imagenes
514,52,imagenes
516,55,spam
521,32,video
523,48,imagenes
524,19,imagenes
525,54,video
527,69,spam
529,4,spam
530,59,spam
531,26,audio
533,77,spam
534,56,spam
539,37,imagenes
540,36,audio
541,58,audio
545,66,imagenes
546,25,video
547,18,audio
548,26,spam
552,84,imagenes
554,22,audio
555,28,audio
556,60,video
557,56,video
558,1,imagenes
559,58,spam
563,82,audio
564,28,video
565,52,audio
566,12,audio
571,86,audio
572,14,imagenes
573,63,audio
577,40,audio
578,66,audio
580,68,spam
581,5,imagenes
583,66,audio
584,89,audio
585,28,spam
588,47,audio
592,69,video
595,7,imagenes
596,71,spam
599,10,audio
602,3,spam
605,85,spam
606,27,imagenes
608,12,audio
609,78,spam
611,68,imagenes
612,23,spam
615,36,spam
616,11,video
617,36,spam
619,88,spam
622,75,imagenes
623,51,spam
624,55,audio
625,76,audio
626,45,audio
627,68,video
628,24,spam
631,43,spam
635,63,spam
636,14,video
637,55,spam
638,23,imagenes
643,17,video
646,64,imagenes
647,41,imagenes
648,2,imagenes
651,81,spam
652,14,video
653,10,imagenes
657,69,imagenes
658,31,audio
660,45,imagenes
662,65,audio
665,82,audio
666,86,audio
667,44,audio
669,31,spam
671,81,audio
672,13,video
673,26,audio
675,22,video
676,6,spam
679,28,imagenes
681,67,spam
682,1,audio
683,82,spam
684,76,imagenes
685,40,spam
686,7,video
688,29,spam
689,52,spam
694,49,audio
695,87,audio
698,43,audio
702,81,audio
703,65,spam
704,8,video
705,85,video
706,82,imagenes
708,25,audio
709,46,audio
710,76,spam
711,57,audio
712,50,audio
713,57,audio
718,80,video
722,73,spam
723,70,imagenes
724,76,spam
725,74,audio
726,59,spam
727,17,video
728,73,spam
729,22,imagenes
730,54,imagenes
733,34,audio
737,19,spam
738,78,audio
739,55,imagenes
741,29,audio
743,39,imagenes
745,46,audio
746,42,audio
747,53,imagenes
754,66,imagenes
755,66,video
757,22,video
758,87,video
760,1,imagenes
763,37,audio
764,50,spam
765,9,audio
766,58,spam
768,42,imagenes
769,22,video
770,37,imagenes
773,82,imagenes
774,76,imagenes
775,84,video
777,78,video
781,45,audio
782,50,spam
783,39,audio
784,66,video
788,12,audio
789,45,audio
790,73,video
791,45,video
792,12,spam
793,4,video
794,31,audio
797,79,spam
799,7,spam
800,61,spam
801,50,imagenes
803,7,imagenes
804,7,imagenes
808,78,audio
809,66,audio
810,8,audio
811,85,video
812,7,audio
815,58,imagenes
816,61,audio
817,77,spam
825,20,audio
828,73,audio
829,13,imagenes
830,3,imagenes
831,79,imagenes
833,15,video
839,57,audio
840,90,spam
842,25,imagenes
846,28,audio
847,54,imagenes
848,51,imagenes
849,11,imagenes
852,43,imagenes
853,19,spam
854,59,audio
855,48,imagenes
856,44,spam
862,47,imagenes
864,74,imagenes
865,66,imagenes
866,63,imagenes
867,36,imagenes
868,49,video
869,89,imagenes
870,77,audio
874,65,spam
875,43,audio
876,52,video
877,32,audio
881,52,video
882,74,video
883,1,audio
886,13,audio
890,84,video
892,85,video
893,25,video
896,21,spam
901,57,video
904,69,spam
905,46,video
911,24,spam
912,58,spam
913,3,video
916,35,audio
919,20,audio
920,17,audio
922,75,video
924,73,imagenes
926,54,audio
928,25,audio
929,51,video
934,88,video
937,51,video
940,36,imagenes
941,67,video
943,22,audio
945,83,audio
949,6,imagenes
951,26,spam
952,80,audio
953,5,audio
955,38,audio
956,48,video
960,35,spam
961,20,audio
965,38,video
968,4,imagenes
969,37,audio
970,3,audio
971,32,audio
972,38,audio
973,8,video
974,68,spam
976,31,imagenes
977,2,video
978,30,imagenes
979,37,audio
980,16,spam
984,65,imagenes
985,89,imagenes
986,9,imagenes
989,15,audio
990,68,imagenes
993,13,imagenes
994,76,audio
995,26,spam
997,52,video
999,80,spam
1000,63,spam
1004,14,imagenes
1005,10,audio
1009,20,audio
1010,10,audio
1014,36,audio
1015,33,video
1016,83,imagenes
1018,54,imagenes
1019,9,imagenes
1022,2,spam
1023,65,spam
1026,18,spam
1028,73,spam
1030,11,imagenes
1034,25,spam
1035,77,audio
1036,15,imagenes
1037,67,audio
1039,7,imagenes
1040,23,audio
1042,45,video
1044,42,audio
1046,54,audio
1050,21,video
1051,29,video
1052,50,spam
1055,3,audio
1056,65,audio
1057,11,video
1058,90,video
1059,12,spam
1060,18,spam
1062,6,audio
1064,70,imagenes
1067,82,video
1068,31,audio
1072,75,spam
1074,70,imagenes
1075,36,spam
1076,1,spam
1089,14,video
1090,85,video
1091,1,imagenes
1093,38,audio
1095,87,spam
1097,56,audio
1098,17,audio
1101,87,imagenes
1103,70,imagenes
1105,56,spam
1107,47,imagenes
1108,5,audio
1109,54,spam
1111,58,spam
1113,43,video
1116,43,imagenes
1118,58,audio
1119,30,spam
1121,16,imagenes
1122,68,video
1124,59,audio
1126,76,imagenes
1127,8,imagenes
1130,31,imagenes
1131,87,spam
1135,70,video
1136,24,spam
1137,32,imagenes
1138,19,spam
1140,63,imagenes
1143,68,imagenes
1145,37,video
1146,41,audio
1147,51,audio
1148,16,imagenes
1149,31,audio
1150,43,audio
1153,65,spam
1156,29,imagenes
1158,20,imagenes
1160,73,audio
1161,37,imagenes
1165,33,imagenes
1166,13,imagenes
1168,50,audio
1169,89,video
1170,16,spam
1174,27,audio
1175,46,audio
1176,21,audio
1177,48,video
1179,51,audio
1180,44,imagenes
1181,82,spam
1184,59,video
1185,22,imagenes
1186,68,spam
1188,83,imagenes
1189,49,spam
1190,36,video
1191,40,video
1192,88,spam
1193,57,spam
1196,63,audio
1197,14,spam
1199,79,imagenes
1202,9,audio
1203,90,video
1205,88,imagenes
1207,50,audio
1212,40,audio
1213,78,imagenes
1217,17,video
1220,39,video
1222,65,video
1225,55,audio
1227,82,imagenes
1229,65,audio
1231,41,spam
1232,15,imagenes
1233,63,video
1235,68,audio
1238,4,video
1239,27,video
1240,85,spam
1244,33,audio
1246,38,imagenes
1247,23,video
1248,29,imagenes
1249,39,spam
1251,80,imagenes
1254,88,audio
1258,52,spam
1259,25,imagenes
1260,4,spam
1262,72,audio
1263,77,video
1265,17,imagenes
1266,49,audio
1269,75,audio
1270,63,spam
1272,24,imagenes
1273,14,audio
1277,77,imagenes
1279,29,video
1283,71,spam
1292,41,audio
1294,27,spam
1295,60,spam
1296,89,spam
1303,61,imagenes
1304,32,imagenes
1306,8,imagenes
1307,60,spam
1312,28,video
1313,82,imagenes
1315,26,spam
1318,42,imagenes
1322,79,audio
1325,88,imagenes
1326,81,audio
1328,59,spam
1331,73,imagenes
1333,27,audio
1334,85,video
1335,47,spam
1337,27,audio
1338,15,audio
1339,87,video
1340,4,video
1345,71,video
1352,41,audio
1353,59,spam
1355,80,imagenes
1356,36,spam
1357,38,imagenes
1360,79,spam
1362,72,spam
1363,40,imagenes
1364,76,spam
1365,71,spam
1368,87,audio
1370,5,imagenes
1371,8,video
1373,40,imagenes
1374,71,spam
1376,14,spam
1378,19,video
1379,72,video
1381,36,spam
1382,38,imagenes
1384,67,spam
1385,58,spam
1387,65,imagenes
1388,43,imagenes
1391,36,audio
1394,3,imagenes
1395,4,video
1396,27,spam
1397,3,spam
1400,53,spam
1402,54,video
1407,30,spam
1408,72,spam
1409,89,spam
1412,11,spam
1416,7,spam
1419,82,spam
1420,86,video
1422,7,imagenes
1423,22,audio
1424,45,audio
1428,64,video
1429,87,imagenes
1430,31,imagenes
1432,58,video
1434,27,spam
1439,10,video
1440,70,audio
1445,39,imagenes
1446,50,audio
1452,17,imagenes
1453,34,audio
1455,65,video
1456,51,audio
1458,53,video
1459,44,spam
1460,55,video
1461,80,audio
1464,55,imagenes
1465,62,spam
1468,47,spam
1469,85,video
1471,51,video
1472,2,audio
1474,30,audio
1476,73,video
1477,56,imagenes
1478,17,imagenes
1479,42,video
1480,41,spam
1482,3,imagenes
1483,64,spam
1484,4,video
1485,24,spam
1488,25,video
1489,20,audio
1491,49,video
1495,83,audio
1498,61,imagenes
1499,89,audio
1500,61,imagenes
1501,38,video
1503,70,audio
1506,75,imagenes
1507,6,imagenes
1509,88,spam
1510,30,audio
1511,20,video
1514,40,audio
1516,90,spam
1517,56,spam
1520,10,video
1526,27,audio
1527,22,spam
1530,76,spam
1531,77,video
1532,18,audio
1533,65,imagenes
1534,26,video
1540,28,spam
1541,45,imagenes
1546,38,audio
1547,29,imagenes
1548,17,spam
1549,65,audio
1551,33,audio
1553,28,spam
1555,36,video
1556,9,imagenes
1560,23,imagenes
1562,80,video
1568,28,video
1570,43,video
1571,17,spam
1573,65,audio
1574,89,imagenes
1575,16,imagenes
1576,47,spam
1577,79,imagenes
1578,33,video
1580,50,video
1582,12,spam
1583,3,spam
1585,24,audio
1586,37,audio
1588,58,audio
1592,49,video
1594,86,video
1595,68,audio
1596,32,imagenes
1597,23,spam
1601,25,spam
1602,86,imagenes
1603,40,video
1604,33,spam
1606,27,spam
1608,64,imagenes
1609,70,spam
1613,42,video
1614,69,spam
1615,40,video
1616,11,imagenes
1617,54,video
1620,41,spam
1621,57,spam
1622,6,spam
1623,26,spam
1624,87,video
1627,40,spam
1629,60,imagenes
1631,41,audio
1632,79,audio
1635,9,spam
1636,11,video
1637,14,imagenes
1647,62,audio
1648,65,audio
1649,25,spam
1655,20,audio
1657,31,video
1659,71,audio
1660,70,video
1661,42,imagenes
1664,36,audio
1665,79,audio
1666,89,imagenes
1677,88,imagenes
1678,9,spam
1680,53,video
1682,22,spam
1684,54,video
1686,67,audio
1688,37,spam
1690,9,video
1691,67,video
1695,23,spam
1697,57,spam
1698,28,video
1699,10,video
1700,40,spam
1704,61,imagenes
1705,68,audio
1708,19,imagenes
1711,50,video
1715,3,video
1717,56,imagenes
1718,25,audio
1720,49,audio
1721,13,spam
1722,24,video
1723,7,spam
1724,22,video
1725,66,video
1726,33,spam
1727,8,audio
1729,26,video
1731,27,video
1732,52,audio
1735,32,audio
1736,27,spam
1737,65,spam
1739,37,imagenes
1740,63,audio
1741,47,spam
1743,10,audio
1744,85,spam
1745,52,spam
1746,53,imagenes
1747,26,audio
1752,11,audio
1755,88,video
1758,37,spam
1760,37,spam
1763,57,audio
1764,52,video
1766,12,spam
1767,85,imagenes
1769,52,spam
1773,63,imagenes
1776,41,imagenes
1782,83,spam
1783,80,imagenes
1785,52,imagenes
1788,20,imagenes
1792,5,video
1795,8,audio
1796,73,audio
1799,20,imagenes
1804,46,audio
1805,61,imagenes
1807,88,spam
1808,18,spam
1809,87,audio
1815,18,video
1816,43,audio
1818,55,video
1820,2,audio
1823,14,spam
1824,36,imagenes
1827,65,spam
1828,74,imagenes
1830,2,spam
1831,70,spam
1832,64,audio
1840,24,audio
1841,58,imagenes
1843,5,spam
1844,31,spam
1847,55,imagenes
1852,83,audio
1853,57,imagenes
1855,50,imagenes
1858,38,spam
1859,40,imagenes
1860,69,audio
1861,3,audio
1863,4,imagenes
1864,64,imagenes
1865,18,spam
1866,21,imagenes
1871,24,audio
1873,11,audio
1875,72,imagenes
1876,27,audio
1877,27,spam
1878,28,spam
1880,29,imagenes
1883,58,spam
1885,27,video
1887,14,video
1888,54,spam
1890,76,imagenes
1893,65,video
1896,27,video
1897,66,audio
1898,69,spam
1900,6,imagenes
1902,28,imagenes
1903,20,video
1905,58,spam
1906,30,audio
1907,43,audio
1908,81,imagenes
1909,35,spam
1913,10,spam
1915,16,imagenes
1916,42,audio
1917,31,video
1919,35,spam
1921,56,audio
1922,75,audio
1928,19,video
1930,44,imagenes
1933,41,imagenes
1934,40,audio
1936,85,spam
1939,67,audio
1942,26,spam
1944,24,video
1946,42,spam
1947,59,audio
1948,74,video
1950,4,audio
1951,39,spam
1952,58,audio
1954,19,spam
1955,29,audio
1957,47,video
1958,60,audio
1959,64,spam
1960,21,imagenes
1964,4,video
1965,84,audio
1967,3,spam
1970,60,spam
1971,77,imagenes
1972,27,imagenes
1974,90,imagenes
1976,20,imagenes
1977,60,audio
1980,18,imagenes
1983,16,imagenes
1985,36,audio
1986,79,audio
1990,53,spam
1993,4,audio
1994,35,video
1995,73,spam
1996,34,video
1997,8,video
1998,16,audio
1999,41,audio
2000,7,video
2001,21,spam
2002,89,imagenes
2003,75,audio
2004,26,audio
2005,89,imagenes
2007,65,spam
2009,43,video
2010,49,audio
2013,89,video
2015,54,audio
2016,89,video
2018,3,video
2020,35,video
2022,4,spam
2023,88,video
2025,56,spam
2026,19,spam
2027,34,video
2028,44,imagenes
2029,55,video
2032,66,audio
2033,79,imagenes
2036,3,spam
2038,43,video
2040,54,spam
2043,81,video
2045,82,video
2047,40,imagenes
2051,30,audio
2052,32,spam
2053,77,video
2054,67,video
2055,60,spam
2057,83,spam
2058,53,spam
2059,66,audio
2061,52,spam
2063,39,video
2066,87,audio
2068,14,spam
2069,54,video
2070,53,audio
2071,60,spam
2074,10,imagenes
2075,18,audio
2077,44,video
2081,12,video
2083,47,imagenes
2085,49,video
2090,34,spam
2091,90,audio
2093,62,video
2094,66,spam
2095,48,audio
2097,75,spam
2100,43,video
2105,22,audio
2107,15,video
2109,28,spam
2112,18,audio
2113,80,spam
2114,45,imagenes
2116,78,video
2117,83,spam
2119,42,spam
2122,3,imagenes
2128,28,video
2132,78,video
2136,54,video
2138,63,imagenes
2140,78,spam
2141,39,spam
2142,21,spam
2143,80,spam
2146,67,spam
2148,55,video
2150,79,audio
2151,40,audio
2152,46,imagenes
2153,24,imagenes
2154,4,imagenes
2155,61,audio
2158,75,imagenes
2160,85,spam
2162,48,imagenes
2165,61,imagenes
2168,40,spam
2169,60,video
2170,44,imagenes
2172,32,audio
2173,57,spam
2174,9,spam
2176,90,spam
2178,23,imagenes
2180,56,video
2181,74,audio
2185,87,imagenes
2186,71,spam
2190,7,spam
2191,46,imagenes
2193,12,video
2195,40,audio
2196,28,audio
2197,83,audio
2199,84,audio
2200,1,spam
2201,53,audio
2202,9,audio
2204,4,audio
2205,85,imagenes
2206,5,video
2207,58,video
2208,37,audio
2209,85,imagenes
2210,61,imagenes
2211,5,imagenes
2212,47,spam
2215,42,imagenes
2217,10,spam
2219,90,spam
2223,61,spam
2224,82,audio
2225,63,spam
2228,48,spam
2229,40,audio
2230,89,audio
2233,10,video
2234,40,audio
2235,81,spam
2240,27,video
