número,status,fecha_dictamen
75773-26740-LB,1,29-11-2008
34339-73469-DD,1,14-05-2015
54011-96023-OK,0,22-01-2011
2244-72747-GF,0,31-03-2016
17957-30003-BH,0,26-11-2018
2504-44007-AF,0,06-10-2005
33320-81227-MN,1,08-08-2016
62440-59688-NJ,0,03-02-2018
68967-37715-HF,1,01-05-2017
38180-81955-HN,1,07-08-2009
63660-87622-GK,1,04-09-1992
63474-79491-NL,1,12-12-2013
68274-28037-DB,0,09-03-2019
21666-4918-LM,1,23-08-2016
22045-72513-HE,1,14-06-2012
75254-18562-BG,1,09-12-2017
2063-7789-BO,1,13-10-2016
52333-84416-IN,0,05-10-2018
12535-65611-EJ,1,22-09-2002
50401-33014-MH,0,03-11-2013
82881-34480-EO,1,09-08-2004
11817-9928-JE,0,28-05-2012
61746-68518-BJ,0,05-12-2017
43657-42960-IA,0,13-03-2019
95243-20001-GH,0,04-04-2015
29968-9653-BF,1,16-04-2016
21783-68052-KN,1,11-08-2015
86130-28257-LF,1,21-09-2017
28723-63556-FF,1,07-12-2018
50919-91480-IB,1,20-06-1989
34895-60990-HB,0,19-05-1992
93654-84379-HB,0,04-01-2019
45508-69257-DF,1,09-11-2014
79471-48968-ND,1,16-01-2007
33283-88636-LE,1,25-10-2002
26813-55880-DM,0,13-06-2019
5183-96112-KG,0,13-09-2018
7010-70680-FA,1,06-10-2014
76528-76227-MG,1,22-12-2008
89919-27603-MB,1,20-03-2018
62543-40284-BD,1,25-12-2008
26814-5298-OG,1,21-03-2019
65336-66323-EG,1,27-04-2014
52920-15732-BN,0,19-04-2013
52585-5864-NH,1,13-02-2018
90536-26795-IB,0,05-07-2019
39666-22807-DD,1,14-04-2017
99064-65353-KE,0,02-08-2005
1170-92553-IG,0,16-07-1985
54809-98309-LJ,1,07-07-2019
6667-24651-BA,0,19-09-2016
46794-50871-AM,1,18-07-2017
81562-88231-NG,0,21-10-1989
70940-430-BI,1,06-10-1995
90711-94912-BI,0,10-08-2019
26406-19514-LB,1,09-09-2016
48926-92957-FH,0,22-02-2016
20966-2287-GN,1,03-11-2006
23725-83303-FI,1,05-12-1998
8987-8726-FE,1,04-12-2013
84716-95928-KB,0,06-09-2018
60301-70021-OB,0,01-08-2001
51770-46932-EK,1,02-09-2017
17540-59554-MM,0,20-06-2013
70317-1761-FJ,0,21-05-2012
42348-65185-JM,1,04-02-2017
6084-94035-EK,1,20-12-2013
84505-25280-OE,1,13-04-2011
80263-91423-JK,0,04-10-1995
59400-50499-AL,0,25-12-2012
35920-79778-IJ,1,15-04-1999
6950-31233-BM,1,19-02-2012
23974-56394-KG,1,29-06-2016
74438-67958-OM,1,11-05-2011
75740-71991-BI,1,01-12-2011
36229-99833-LA,1,25-02-2005
48173-64138-BI,1,20-10-2018
84593-9887-DF,1,18-11-2011
88112-12976-BF,0,13-10-2016
67378-80654-OO,0,23-08-2018
51931-4621-AL,1,10-11-1999
19015-83580-IH,0,14-09-2015
39136-17233-HN,1,26-04-2007
24664-97780-FO,1,26-08-2019
