,n_esperado_personas,lugar
0,22186,53 Kensington Alley
3,20155,689 Dexter Circle
5,9327,5 West Terrace
7,23423,05 Autumn Leaf Crossing
11,821,41 Mayer Place
12,9693,24472 Browning Junction
14,12951,5 Claremont Place
16,24004,6 Browning Court
17,12232,94 Jenifer Park
20,140,7532 3rd Way
23,24013,24 Forest Dale Parkway
26,3195,8848 Reinke Pass
27,6706,9 Moose Way
29,10592,54644 Trailsway Street
33,10517,64 2nd Street
35,16675,4227 Chinook Alley
37,23859,049 Mcbride Parkway
38,16202,2 Drewry Hill
39,15803,50 Truax Crossing
42,4743,27121 Bunting Point
45,24979,66 Oneill Way
46,6248,1217 Melby Road
47,14834,99018 Veith Drive
50,23408,11148 Daystar Pass
53,8540,66 Oneill Way
56,24642,1869 Maple Wood Junction
59,24148,4378 Dapin Terrace
62,16761,803 Helena Way
63,1238,2 Vahlen Place
64,5626,935 Lawn Drive
65,22615,9 Mifflin Alley
66,2524,6 Debs Lane
67,750,6 Lakeland Park
70,14457,2 Badeau Court
72,4150,90648 Melvin Street
74,11681,2 Union Lane
75,10100,97 Sunbrook Center
76,6156,7728 Sauthoff Parkway
77,11918,3242 Onsgard Court
79,24107,7405 Towne Trail
80,23185,371 4th Drive
82,19135,30152 Quincy Place
83,18534,69 Killdeer Way
84,21666,41 Thackeray Avenue
85,16074,93 Hoepker Drive
86,5160,44 Grim Plaza
88,10819,4 Oakridge Crossing
89,23751,1712 Granby Avenue
90,11402,3856 Loftsgordon Hill
91,20720,85 Katie Street
94,10399,49016 Gateway Lane
95,18853,94 Jenifer Park
98,5007,30373 Prairie Rose Way
102,22200,6840 Lotheville Avenue
103,1684,9 Eggendart Center
104,14392,54 Sheridan Way
105,21740,222 Claremont Court
108,2458,22179 Mayfield Terrace
109,11134,1 Forster Street
110,7751,261 5th Terrace
112,11758,58894 4th Pass
114,9529,37248 Kipling Avenue
115,9387,714 Shasta Point
117,13008,79764 Warbler Park
121,13717,94393 Stuart Road
123,21879,1 Heffernan Center
124,24801,58 Darwin Street
126,21338,8030 Nelson Trail
127,475,7982 Mallory Point
128,17243,98020 Havey Avenue
129,2314,19 Mariners Cove Center
130,12924,75 Sutteridge Center
131,4365,41 Arizona Road
132,23795,05346 Atwood Road
134,1300,3 Claremont Lane
137,15256,30357 Magdeline Junction
140,5410,5383 Gateway Parkway
141,3436,41 Arizona Road
143,17652,41 Eagle Crest Crossing
145,22918,26 Portage Hill
146,12416,616 Division Alley
147,6901,7981 Elka Place
148,23641,3 Emmet Center
151,4248,66 Sherman Hill
152,3528,4 Bowman Way
154,12437,06 Arapahoe Street
155,9857,0545 Grayhawk Street
157,18369,62678 Nevada Circle
160,8945,578 Manitowish Place
161,16301,562 Bluejay Park
162,16121,424 Goodland Alley
163,1241,55 Declaration Alley
165,910,53 Buhler Road
166,17151,8810 Summer Ridge Junction
168,23073,98 Anzinger Lane
170,13991,99 Londonderry Plaza
174,513,89 Chinook Street
177,21891,2 Harper Trail
178,2681,16079 Sunfield Alley
180,22669,99 Lyons Road
182,20505,64 Messerschmidt Court
184,19360,7 Mitchell Court
186,7501,0 Green Ridge Point
187,1819,13 Shasta Terrace
188,12632,851 Springview Park
190,18285,973 Continental Junction
193,620,344 Victoria Place
196,21304,56 Florence Avenue
204,14027,55 Declaration Alley
208,21316,463 Fremont Way
210,20973,9 Fulton Alley
212,2587,934 Kingsford Lane
215,19263,9925 Ludington Plaza
216,4875,76421 Red Cloud Drive
217,1671,30373 Prairie Rose Way
219,10664,5310 Summer Ridge Alley
222,12540,4 Moland Center
224,18931,2 Tony Plaza
226,3441,366 Straubel Crossing
228,9492,0 Logan Plaza
229,24651,37248 Kipling Avenue
230,5320,41 Mayer Place
231,5744,8 Helena Street
232,1037,7508 Esch Point
234,23682,26 Portage Hill
240,14832,06 Monument Lane
241,14480,99 Michigan Place
243,13164,9223 Rowland Plaza
246,13277,7 Gulseth Place
249,19589,599 Mockingbird Way
250,9933,993 Thierer Place
251,19795,63870 Golden Leaf Alley
252,24306,346 Hoepker Lane
