mid,presupuesto (US$),fecha
0,722591,29/06/1998
1,398534,17/10/1988
2,111935,20/08/2000
3,341570,25/07/2017
4,873203,08/01/2018
5,884800,10/04/2014
6,766213,21/11/2017
7,670439,30/01/2012
8,759108,27/10/2016
9,469232,28/03/2016
10,189484,13/09/1998
11,596878,23/12/2009
12,99184,08/12/2017
13,517273,11/05/1996
14,740,23/03/2014
15,399825,10/10/2013
16,823997,26/02/1999
17,8854,09/09/2013
18,602303,31/07/1975
19,640226,23/03/2003
20,282665,19/12/1996
21,868568,19/05/2018
22,659490,13/04/1988
23,310412,18/04/1962
24,509581,07/09/2006
25,304386,19/12/1990
26,556451,27/10/1991
27,571301,15/10/1993
28,393361,02/10/2008
29,709695,29/05/2007
30,306076,01/12/2016
31,833981,01/10/1982
32,606032,17/12/1989
33,792841,20/09/2006
34,314730,26/02/2004
35,279868,05/11/2000
36,67184,29/07/1975
37,193123,03/10/1990
38,95833,27/04/2012
39,545932,05/05/2002
40,768731,10/05/1978
41,816121,05/12/2005
42,29592,14/05/2004
43,651841,02/09/1979
44,360797,07/06/2005
45,31189,01/04/2016
46,320282,28/02/1978
47,509119,06/04/2019
48,121538,23/01/1993
49,581597,14/08/2013
50,553740,11/03/2005
51,343376,04/08/2002
52,388677,16/02/1981
53,635227,23/12/2010
54,944959,30/05/1965
55,521976,10/08/2019
56,140984,01/10/1962
57,904402,22/11/2017
58,732792,18/02/1987
59,464454,16/12/2006
60,414098,21/03/1986
61,518260,08/01/2003
62,220849,11/10/1987
63,534352,01/03/2014
64,23681,13/07/2010
65,952769,11/12/1979
66,230996,20/07/2019
67,58681,22/02/2003
68,703347,21/02/2000
69,363980,20/05/1987
70,576273,03/09/2006
71,362094,02/06/2017
72,213944,10/12/2017
73,50582,12/07/1993
74,229747,16/10/2003
75,43712,22/12/2013
76,330413,16/11/1992
77,701023,10/09/1983
78,144053,31/01/2004
79,290586,01/12/2013
80,429014,04/06/2011
81,13307,09/04/1991
82,871549,04/10/2007
83,650837,09/01/2008
84,129633,12/10/2004
85,913644,09/03/1983
86,824500,21/04/1988
87,485874,23/02/2019
88,316083,04/09/2013
89,621667,20/10/2009
90,680100,03/12/1955
91,499625,24/05/2019
92,528193,03/02/2003
93,655932,31/10/2016
94,340801,21/06/1997
95,140402,19/09/1986
96,729922,04/06/1982
97,408874,14/04/2017
98,479774,04/11/2009
99,767382,07/06/2015
100,878522,12/01/1994
101,151098,02/12/1990
102,794978,31/05/2003
103,760757,06/05/2012
104,26292,15/05/2004
105,415951,09/11/1971
106,541528,30/07/2019
107,637789,14/07/2019
108,556313,13/12/2009
109,817200,01/02/2008
110,831046,13/05/1960
111,407202,22/07/2018
112,104063,05/02/1992
113,693014,25/07/2014
114,782573,14/08/1997
115,467288,23/09/1983
116,898401,16/10/1993
117,455722,02/11/2005
118,187199,28/10/2014
119,315821,13/12/2018
120,604087,06/06/2015
121,215004,22/01/2016
122,353671,25/08/2018
123,798049,27/12/2005
124,315113,24/06/2005
125,515177,14/01/2011
126,146985,28/08/1988
127,30870,27/03/1983
128,264685,01/02/1991
129,2955,10/11/2018
130,707859,17/06/2009
131,421021,24/09/2017
132,748755,27/08/1972
133,98607,04/12/2012
134,284759,14/01/2005
135,33997,08/01/1982
136,911409,11/11/1998
137,29142,19/04/2017
138,135010,01/06/2019
139,539747,04/07/2017
140,584573,27/03/1992
141,516683,13/10/2010
142,915000,31/05/2007
143,638880,06/03/2017
144,399513,23/08/1971
145,452579,22/10/2015
146,127866,04/05/1994
147,575021,07/05/1981
148,626082,04/04/1994
149,603820,28/06/1976
150,222534,18/01/2002
151,817475,17/11/2011
152,353503,11/02/1985
153,565829,03/06/2009
154,350002,04/09/2008
155,682377,09/03/2019
156,732825,17/08/2001
157,619193,26/11/2017
158,45045,06/09/1983
159,225653,17/04/1997
160,706211,04/10/1981
161,370297,25/06/2016
162,463183,22/07/2017
163,334887,16/09/2012
164,8616,13/03/2008
165,737620,16/06/1999
166,285547,20/10/1991
167,70532,30/01/2001
168,13090,06/04/1973
169,673597,09/08/2014
170,933053,21/04/2005
171,46762,13/01/1984
172,260865,03/07/2013
173,267670,23/12/1998
174,920889,09/01/1998
175,210912,11/12/2012
176,524780,19/08/2002
177,435605,21/07/1966
178,464376,07/04/1998
179,98648,26/11/1996
180,215904,30/12/2018
181,446892,25/02/2018
182,631436,05/10/2013
183,691046,20/12/1970
184,627971,25/02/2013
185,431155,09/12/1981
186,172111,25/09/1967
187,796243,27/02/2012
188,265278,14/05/1980
189,1863,19/12/2004
190,769630,17/07/1989
191,3253,29/01/2003
192,379433,26/08/2017
193,274486,04/09/2008
194,758215,08/01/2006
195,70096,27/01/2011
196,415383,31/07/1982
197,515859,21/04/2017
198,455709,10/03/1990
199,609093,16/07/1982
200,589301,25/10/2014
201,977495,19/09/2011
202,959426,14/07/2012
203,109126,27/04/1989
204,577645,27/07/2012
205,523651,06/09/1998
206,66594,16/10/2015
207,954325,02/11/1961
208,222620,28/11/2007
209,867948,16/06/1988
210,310928,13/06/1955
211,695554,22/09/2009
212,558597,05/05/2009
213,446598,23/03/1990
214,734461,01/02/1981
215,209150,10/05/1997
216,612325,28/08/1964
217,875211,08/04/2001
218,914698,16/07/1995
219,110447,14/08/2009
220,951390,06/08/2013
221,529799,08/07/2007
222,960634,31/10/1982
223,549191,08/07/1995
224,589270,26/01/1976
225,131070,27/07/1979
226,927385,20/12/2003
227,347348,08/08/2018
228,978386,28/10/2006
229,951773,14/05/2013
230,836108,04/07/2008
231,343214,11/10/2016
232,846013,08/08/1986
233,238903,07/08/1967
234,123156,05/01/2006
235,624760,07/12/1985
236,431190,03/07/1989
237,853147,20/03/1961
238,787975,10/07/2010
239,554315,06/10/2005
240,416613,10/06/1988
241,600536,03/08/2016
242,56543,27/04/1985
243,76496,03/10/2012
244,490229,05/03/1991
245,337130,18/10/2003
246,404979,09/07/1993
247,269464,28/05/2017
248,573714,23/09/2018
249,958690,12/12/1971
250,230023,29/09/2009
251,923609,16/11/2000
252,804699,04/12/2006
253,231787,13/05/1996
254,707833,30/03/1980
255,625964,08/03/2019
256,968549,11/03/2010
257,959037,11/10/2008
258,456374,13/11/2012
259,631607,03/07/2010
260,599862,18/03/2013
261,692300,31/12/1990
262,646152,05/11/2014
263,729554,01/08/2018
264,734663,16/11/2017
265,42460,20/12/2009
266,558246,09/05/1981
267,358996,07/05/2011
268,549291,03/10/1992
269,548585,11/11/2018
270,143614,19/11/2018
271,639961,25/06/1986
272,916391,03/09/2011
273,453286,21/01/1971
274,949405,06/01/1969
275,669222,17/12/2007
276,837739,30/01/1997
277,204948,16/09/2011
278,77262,20/07/2018
279,687141,02/06/2014
280,675859,01/04/1988
281,850801,26/10/2016
282,25855,30/12/2008
283,354217,21/10/2010
284,616447,22/03/2017
285,618234,16/10/2014
286,627661,06/11/2012
287,354445,19/02/1982
288,505722,28/04/2003
289,951596,01/06/2009
290,960801,21/08/2017
291,170671,12/08/2006
292,180271,27/08/2015
293,550937,12/01/1981
294,929217,02/07/1995
295,950832,21/03/2006
296,712558,27/05/2002
297,463908,14/01/2013
298,299992,14/02/2008
299,83355,28/05/2016
300,121982,20/06/2019
301,648858,31/07/1997
302,7900,12/12/2018
303,568045,13/04/1983
304,393859,16/07/1988
305,401111,16/06/2007
306,418998,08/05/2012
307,488914,20/03/2014
308,639681,22/01/1981
309,971239,29/07/2005
310,268948,07/08/2019
311,878459,20/06/1982
312,854561,25/05/2016
313,553178,02/04/2014
314,596263,08/05/2014
315,135682,30/03/2011
316,574646,24/04/2014
317,811989,11/06/2017
318,653953,07/09/2014
319,30651,13/09/1979
320,864006,26/03/1964
321,661725,14/05/1990
322,998815,22/07/2017
323,990823,17/06/1991
324,250703,21/07/1992
325,223337,07/08/1994
326,865600,20/08/2019
327,987452,22/04/2015
328,604707,29/02/2004
329,981825,04/01/2018
330,148170,24/11/1974
331,576738,23/05/2006
332,128407,19/09/2007
333,326274,19/04/2016
334,87307,30/08/1984
335,373055,19/11/2014
336,765860,24/10/1997
337,40125,11/05/1992
338,605401,07/05/1976
339,306059,26/08/2018
340,812634,07/06/1999
341,269046,28/06/2001
342,474721,23/08/1996
343,647898,31/10/2004
344,475280,22/12/1976
345,702210,04/11/2016
346,5876,19/09/1983
347,343669,03/07/1997
348,212640,20/12/2001
349,478903,04/06/2008
