nombre,latitud,longitud,comuna,fecha apertura,operativo
"SolarEdge Technologies, Inc.",-40.61124533,-71.9763994,Padre Hurtado,18-01-2012,1
Azul S.A.,-38.3712225,-72.54586882,Curanilahue,08-02-1963,1
Franke,-46.57220413,-70.5754899,Calama,09-04-2016,1
AdvisorShares Market Adaptive Unconstrained Income ETF,-19.48757504,-73.46582409,Chile Chico,06-10-1992,1
Kilroy Realty Corporation,-45.98246139,-71.80516601,Huasco,16-09-1962,1
Anheuser-Busch Inbev SA,-53.79350998,-69.22893626,Antofagasta,23-05-1977,1
Clifton Bancorp Inc.,-46.1348098,-73.54064138,Valparaíso,26-02-1952,1
San Gerónimo,-50.93885489,-71.78372396,La Higuera,08-10-2018,1
Elenita,-51.48257045,-69.73756147,Ollagüe,16-12-1997,1
Catamutún,-38.22877545,-74.53154567,Río Bueno,10-04-2017,1
United States Cellular Corporation,-46.84178722,-72.6409599,La Serena,05-02-1993,1
San José,-17.08866568,-70.75499991,Vallenar,28-05-1982,1
Isla Guarello,-44.52950651,-74.49207624,Punta Arenas,28-02-1970,1
Las Arenitas,-37.93703952,-73.48497148,Curanilahue,25-09-1972,1
Park-Ohio Holdings Corp.,-41.85811607,-72.68224325,Monte Patria,12-05-2002,1
The Community Financial Corporation,-30.33028141,-74.2415504,Isla de Maipo,07-03-1968,1
"National American University Holdings, Inc.",-44.82845024,-69.71109939,María Elena,27-02-1959,1
Garrison Capital Inc.,-42.09990962,-69.28519278,Antofagasta,06-09-1955,1
Array BioPharma Inc.,-34.8282871,-69.65815707,Taltal,22-12-2006,1
Unisys Corporation,-31.55130785,-68.11280481,Huara,24-04-1976,1
PureFunds ETFx HealthTech ETF,-18.30750076,-68.71016001,Tocopilla,11-09-2016,1
"Dynex Capital, Inc.",-46.6250247,-71.20320602,Calama,01-03-1957,1
Walter Investment Management Corp.,-53.36045872,-71.65370501,Copiapó,03-09-2012,1
"Avon Products, Inc.",-42.74645755,-71.60494713,Tocopilla,16-02-1978,1
"Clear Channel Outdoor Holdings, Inc.",-21.93420356,-71.74937316,Quilpué,26-01-1989,1
EQT Corporation,-24.4253265,-71.77113902,Vallenar,19-08-1985,1
SQM - Mapocho,-31.96469031,-69.29279809,Huara,08-06-1962,1
Las Cenizas,-37.70085343,-73.56228633,Concón,23-02-1977,1
"Sportsman's Warehouse Holdings, Inc.",-46.2616331,-71.64164013,Huasco,30-03-1990,1
"Xenia Hotels & Resorts, Inc.",-51.796099,-72.47764133,La Higuera,20-03-2002,1
Lions Gate Entertainment Corporation,-27.10631744,-70.2652307,Diego de Almagro,15-10-1994,1
Inacesa - El Jilguero,-17.44733374,-70.47032369,Huasco,12-09-1958,1
Don Alberto,-32.66658139,-73.34546353,Río Hurtado,11-05-1979,1
Michilla,-27.48280116,-70.56344947,Mejillones,03-02-1956,1
Marine Petroleum Trust,-30.37095291,-69.93180455,Ollagüe,28-04-2019,1
Tuina,-45.29357894,-69.17026643,María Elena,13-12-2007,1
Intracampos,-49.82821022,-74.30242654,Primavera,16-02-1979,1
Westpac Banking Corporation,-31.50027707,-69.55187546,Calama,10-03-1974,1
"Silicon Laboratories, Inc.",-38.8201632,-70.50291327,Salamanca,07-04-2019,1
E*TRADE Financial Corporation,-17.69804781,-70.47765396,Vallenar,29-04-1990,1
Toll Brothers Inc.,-25.45210144,-74.98904326,Los Álamos,05-06-1950,1
CMP - Boquerón Chañar,-37.4788188,-71.47867599,Caldera,13-12-1982,1
Peckett,-38.13105043,-72.83364805,Cabo de Hornos,03-11-1953,1
SL Green Realty Corporation,-23.08275252,-69.42137751,Iquique,29-05-1987,1
"Chunghwa Telecom Co., Ltd.",-16.07171874,-71.26601916,Taltal,13-11-1959,1
"Forterra, Inc.",-40.07139215,-70.8392399,San Pedro de Atacama,16-10-2015,1
Refugio,-38.87962997,-71.56971803,Diego de Almagro,14-01-1979,1
"China Lodging Group, Limited",-30.82234614,-68.38792591,Huara,21-09-1950,1
"International Seaways, Inc.",-24.39457601,-72.24669649,Panguipulli,29-08-2010,1
"Financial Engines, Inc.",-46.38747254,-70.75437214,Camiña,18-06-1979,1
Nuveen Connecticut Quality Municipal Income Fund,-50.96642298,-70.49199065,Tierra Amarilla,29-05-1955,1
La Coipa,-27.59189821,-71.20349032,Diego de Almagro,11-02-1970,1
Dorado,-28.39381633,-73.986472,San Gregorio,15-12-1953,1
Mackinac Financial Corporation,-43.64479261,-73.81374064,Ovalle,06-11-1988,1
"Cogentix Medical, Inc.",-19.95010196,-73.64662812,María Pinto,24-04-1975,1
Cerro Colorado,-24.2080116,-68.50685053,Pica,14-09-1955,1
Dynatronics Corporation,-18.63187163,-72.91612967,Santa Bárbara,01-05-1964,1
R.R. Donnelley & Sons Company,-29.11125862,-71.23158585,María Elena,26-04-1966,1
Trongol,-29.59632621,-73.03948187,Yumbel,21-06-2004,1
"FTI Consulting, Inc.",-47.14991504,-71.68093803,Combarbalá,10-12-1996,1
Inacesa - El Way,-35.29287156,-71.086893,Antofagasta,03-09-1974,1
"RiverNorth Opportunities Fund, Inc.",-31.26504384,-68.84962811,Taltal,21-05-2017,1
AmerisourceBergen Corporation (Holding Co),-51.24200404,-70.28150702,Colchane,14-06-2004,1
"Evolving Systems, Inc.",-52.14362392,-72.16782523,Andacollo,21-01-1991,1
"UMH Properties, Inc.",-42.64166805,-69.65466815,San Pedro de Atacama,09-12-1971,1
