mid,proyecto
0,Haldeman - Sagasca
1,Linderos
2,Julia
3,Nuveen AMT-Free Municipal Value Fund
4,Mantos Blancos
5,"Midland States Bancorp, Inc."
6,Inacesa - El Way
7,Ceragon Networks Ltd.
8,Hamilton Lane Incorporated
9,"Ellie Mae, Inc."
10,"Western Refining Logistics, LP"
11,BlackRock Municipal Target Term Trust Inc. (The)
12,Ceragon Networks Ltd.
13,Garrison Capital Inc.
14,"PDF Solutions, Inc."
15,El Salvador
16,"German American Bancorp, Inc."
17,Carola
18,Central Garden & Pet Company
19,"SeaChange International, Inc."
20,"Cogentix Medical, Inc."
21,"Forterra, Inc."
22,El Guindo
23,The9 Limited
24,Linderos
25,Imax Corporation
26,Caupolicán
27,Peckett
28,Lota
29,PowerShares BuyBack Achievers Portfolio
30,CMP - Los Colorados
31,"PrivateBancorp, Inc."
32,El Teniente
33,Dorado
34,Michilla
35,"OraSure Technologies, Inc."
36,Manto Verde
37,Northrop Grumman Corporation
38,"Biocept, Inc."
39,Esterline Technologies Corporation
40,Westpac Banking Corporation
41,Mackinac Financial Corporation
42,Mantos de la Luna
43,Lambert
44,"Shutterstock, Inc."
45,"Pepsico, Inc."
46,Andacollo Cobre
47,Dollar General Corporation
48,Pupunahue
49,"Midland States Bancorp, Inc."
50,ACF - Lagunas
51,First Trust Senior Loan Fund ETF
52,"Financial Engines, Inc."
53,Andacollo Oro
54,Andacollo Cobre
55,Marine Petroleum Trust
56,Fertón
57,Natl Westminster Pfd
58,Cerro Casale
59,El Teniente
60,China Cord Blood Corporation
61,Fertón
62,Biglari Holdings Inc.
63,B.O.S. Better Online Solutions
64,Elenita
65,Quiborax
66,Tranquilo
67,"Mid-America Apartment Communities, Inc."
68,Elkhorn Commodity Rotation Strategy ETF
69,SQM - María Elena
70,Eagle Bulk Shipping Inc.
71,Galectin Therapeutics Inc.
72,Novanta Inc.
73,"Ulta Beauty, Inc."
74,"First Financial Bankshares, Inc."
75,Refugio
76,El Tesoro
77,The Community Financial Corporation
78,"Sierra Oncology, Inc."
79,Dollar General Corporation
80,BlackRock Municipal Target Term Trust Inc. (The)
81,China Cord Blood Corporation
82,Check-Cap Ltd.
83,Cohen & Steers Reit and Preferred Income Fund Inc
84,"Investors Bancorp, Inc."
85,Bronce de Petorca
86,"Financial Engines, Inc."
87,"Diamond Hill Investment Group, Inc."
88,Marte Lobo
89,BLDRS Developed Markets 100 ADR Index Fund
90,ENGlobal Corporation
91,"Silicon Laboratories, Inc."
92,Ojos del Salado
93,Cosayach - Cala Cala
94,Spence
95,Janus Henderson Small Cap Growth Alpha ETF
96,Sierra Miranda
97,Ojos del Salado
98,III de Atacama Minerals - Aguas Blancas
99,Candelaria
100,La Perla
101,BlackRock Municipal Target Term Trust Inc. (The)
102,SQM - Nueva Victoria
103,Las Cenizas
104,El Guindo
105,"Texas Capital Bancshares, Inc."
106,Cerro Bayo
107,"Silicon Laboratories, Inc."
108,"Urban One, Inc. "
109,"Appliance Recycling Centers of America, Inc."
110,III de Atacama Kozan
111,Container Store (The)
112,Cóndor
113,Enel Generacion Chile S.A.
114,La Patagua
115,Quiborax
116,Caleta El Cobre
117,"Blackhawk Network Holdings, Inc."
118,L.B. Foster Company
119,West Corporation
120,Victoria
121,Neff Corporation
122,Brookfield Global Listed Infrastructure Income Fund
123,Unisys Corporation
124,Western Alliance Bancorporation
125,Eaton Vance Corporation
126,"Appliance Recycling Centers of America, Inc."
127,"Edge Therapeutics, Inc."
128,"Pinnacle Financial Partners, Inc."
129,CMP - Cerro Negro Norte
130,La Pepa
131,Lota
132,ENGlobal Corporation
133,"Evolving Systems, Inc."
134,CMP - Boquerón Chañar
135,Peapack-Gladstone Financial Corporation
136,Spence
137,El Tofo
138,La Productora
139,Chimborazo
140,Refugio
141,Ojos del Salado
142,Zaldívar
143,PowerShares BuyBack Achievers Portfolio
144,"National American University Holdings, Inc."
145,Tekla Healthcare Opportunies Fund
146,Ministro Hales
147,B.O.S. Better Online Solutions
148,iShares MSCI EM ESG Optimized ETF
149,"Tootsie Roll Industries, Inc."
150,AdvisorShares Market Adaptive Unconstrained Income ETF
151,Jerónimo
152,Nuveen Floating Rate Income Fund
153,SQM - Mapocho
154,HollyFrontier Corporation
155,"LTC Properties, Inc."
156,Ojos del Salado
157,Los Bronces
158,Northern Trust Corporation
159,PowerShares BuyBack Achievers Portfolio
160,Forum Merger Corporation
161,"CenterPoint Energy, Inc."
162,"CenterPoint Energy, Inc."
163,Gladstone Commercial Corporation
164,First Trust Multi-Asset Diversified Income Index Fund
165,"Waste Management, Inc."
166,Caleta El Cobre
167,Bed Bath & Beyond Inc.
168,"Fiserv, Inc."
169,AmerisourceBergen Corporation (Holding Co)
170,HollyFrontier Corporation
171,Peapack-Gladstone Financial Corporation
172,Gladstone Commercial Corporation
173,Talcuna
174,The Community Financial Corporation
175,First Trust Multi-Asset Diversified Income Index Fund
176,Western Alliance Bancorporation
177,"HCA Healthcare, Inc."
178,"Mirna Therapeutics, Inc."
179,Vanguard Russell 3000 ETF
180,"Waste Management, Inc."
181,Array BioPharma Inc.
182,Arenal
183,Costamare Inc.
184,Gladstone Commercial Corporation
185,Celite - Tilviche
186,"Western Refining Logistics, LP"
187,"Under Armour, Inc."
188,Northern Trust Corporation
189,Faride
190,Don Alberto
191,"First Hawaiian, Inc."
192,Pampa Camarones
193,HollyFrontier Corporation
194,Eaton Vance Corporation
195,Elenita
196,CoreSite Realty Corporation
197,Gladstone Commercial Corporation
198,Entegra Financial Corp.
199,Randgold Resources Limited
200,Dollar General Corporation
201,SAP SE
202,Andacollo Cobre
203,Michilla
204,Ministro Hales
205,Lions Gate Entertainment Corporation
206,"Aspen Technology, Inc."
207,Altamira
208,EQT Corporation
209,Merus Labs International Inc.
210,BRF S.A.
211,"CenterPoint Energy, Inc."
212,"Idera Pharmaceuticals, Inc."
213,Fidus Investment Corporation
214,"Cleveland BioLabs, Inc."
215,Sierra Miranda
216,CVS Health Corporation
217,"Financial Engines, Inc."
218,"Discovery Communications, Inc."
219,Quebrada Blanca
220,"The Chefs' Warehouse, Inc."
221,Schwager
222,"Appliance Recycling Centers of America, Inc."
223,"Texas Capital Bancshares, Inc."
224,"Portola Pharmaceuticals, Inc."
225,Navío
226,"Sportsman's Warehouse Holdings, Inc."
227,Arenal
228,Bronce de Petorca
229,Julia
230,"Shutterstock, Inc."
231,PowerShares Golden Dragon China Portfolio
232,PowerShares BuyBack Achievers Portfolio
233,"Adams Diversified Equity Fund, Inc."
234,"H&R Block, Inc."
235,VictoryShares US 500 Enhanced Volatility Wtd ETF
236,JM Global Holding Company
237,CVS Health Corporation
238,Northrop Grumman Corporation
239,Los Pelambres
240,Cummins Inc.
241,"Apple Hospitality REIT, Inc."
242,Cosayach - Negreiros
243,Los Bronces
244,Cohen & Steers Reit and Preferred Income Fund Inc
245,Navío
246,Esperanza
247,Merus Labs International Inc.
248,Dollar General Corporation
249,EPR Properties
250,El Teniente
251,Microsemi Corporation
252,"Biocept, Inc."
253,Candelaria
254,Biglari Holdings Inc.
255,Chimberos
256,"The Travelers Companies, Inc."
257,Enel Generacion Chile S.A.
258,Marte Lobo
259,Cabot Corporation
260,"CenterPoint Energy, Inc."
261,JM Global Holding Company
262,"Investors Bancorp, Inc."
263,Catamutún
264,NVIDIA Corporation
265,Pampa Camarones
266,SQM - María Elena
267,"Mirna Therapeutics, Inc."
268,Sierra Gorda
269,Pirquitas
270,Carvana Co.
271,Alliance National Municipal Income Fund Inc
272,Urstadt Biddle Properties Inc.
273,Abeona Therapeutics Inc.
274,Lambert
275,El Teniente
276,Las Arenitas
277,Zaldívar
278,PowerShares KBW High Dividend Yield Financial Portfolio
279,First Trust South Korea AlphaDEX Fund
280,Suncor EnergyInc.
281,Western Asset Bond Fund
282,"Idera Pharmaceuticals, Inc."
283,"Meridian Waste Solutions, Inc"
284,Quiborax - Ascotán
285,Tres Valles
286,Cummins Inc.
287,Dynatronics Corporation
288,Clifton Bancorp Inc.
289,"Taiwan Fund, Inc. (The)"
290,Cerro Bayo
291,Cóndor
292,U.S. Energy Corp.
293,Manto Verde
294,"German American Bancorp, Inc."
295,First Trust Senior Loan Fund ETF
296,Los Pelambres
297,Microsemi Corporation
298,Applied DNA Sciences Inc
299,Can Can
300,"Westbury Bancorp, Inc."
301,Bed Bath & Beyond Inc.
302,"Western New England Bancorp, Inc."
303,"Mirna Therapeutics, Inc."
304,PIMCO Dynamic Credit and Mortgage Income Fund
305,Lota
306,Forum Merger Corporation
307,Quiborax - Ascotán
308,CVS Health Corporation
309,Kraton Corporation
310,Mantos Blancos
311,SQM - Yumbes
312,III de Atacama Kozan
313,Ojos del Salado
314,Dollar General Corporation
315,iPath US Treasury Long Bond Bear ETN
316,E*TRADE Financial Corporation
317,Cosayach - Soledad
318,AmerisourceBergen Corporation (Holding Co)
319,Voya Global Equity Dividend and Premium Opportunity Fund
320,III de Atacama Kozan
321,Las Pataguas
322,Franke
323,El Teniente
324,Pullalli
325,Caleta El Cobre
326,Eaton Vance Corporation
327,Tuina
328,"support.com, Inc."
329,"XO Group, Inc."
330,"China Lodging Group, Limited"
331,"Hawkins, Inc."
332,Navío
333,"Sierra Oncology, Inc."
334,Las Cenizas
335,"International Seaways, Inc."
336,"German American Bancorp, Inc."
337,Las Cenizas
338,Romeral
339,Peabody Energy Corporation
340,"Adams Diversified Equity Fund, Inc."
341,United Microelectronics Corporation
342,Terreno Realty Corporation
343,Andes Travertine
344,"LM Funding America, Inc."
345,CoreSite Realty Corporation
346,Northrop Grumman Corporation
347,Los Pelambres
348,"Midland States Bancorp, Inc."
349,"Avon Products, Inc."
350,Merus Labs International Inc.
351,Iván
352,Ministro Hales
353,PowerShares Nasdaq Internet Portfolio
354,"Investors Bancorp, Inc."
355,Torchmark Corporation
356,"TC PipeLines, LP"
357,Drive Shack Inc.
358,PowerShares Nasdaq Internet Portfolio
359,"Xenia Hotels & Resorts, Inc."
360,"First Hawaiian, Inc."
361,Pupunahue
362,"FairPoint Communications, Inc."
363,American Homes 4 Rent
364,"Impax Laboratories, Inc."
365,"NextEra Energy, Inc."
366,SQM - Mapocho
367,"Xenia Hotels & Resorts, Inc."
368,Fertón
369,"Sportsman's Warehouse Holdings, Inc."
370,"Zynerba Pharmaceuticals, Inc."
371,Punitaqui
372,Nabriva Therapeutics AG
373,Urstadt Biddle Properties Inc.
374,CMP - Boquerón Chañar
375,Park-Ohio Holdings Corp.
376,Abeona Therapeutics Inc.
377,Tres Valles
378,B.O.S. Better Online Solutions
379,Altamira
380,III de Atacama Kozan
381,El Tofo
382,Unisys Corporation
383,"Discovery Communications, Inc."
384,"Cleveland BioLabs, Inc."
385,Lomas Bayas
386,Jazz Pharmaceuticals plc
387,Randgold Resources Limited
388,Quebrada Blanca
389,Talcuna
390,"Zynerba Pharmaceuticals, Inc."
391,Refugio
392,"German American Bancorp, Inc."
393,Choquelimpie
394,Central Garden & Pet Company
395,Fidus Investment Corporation
396,Nuveen Connecticut Quality Municipal Income Fund
397,Peckett
398,"Nutanix, Inc."
399,Terreno Realty Corporation
400,L.B. Foster Company
401,Jazz Pharmaceuticals plc
402,Drive Shack Inc.
403,"H&R Block, Inc."
404,Neff Corporation
405,"SeaChange International, Inc."
406,San José
407,Diana Shipping inc.
408,3M Company
409,"Spark Energy, Inc."
410,Punta de Lobos - Kanita
411,"CenterPoint Energy, Inc."
412,Orbotech Ltd.
413,San José
414,Envision Healthcare Corporation
415,Corporate Asset Backed Corp CABCO
416,Ministro Hales
417,"Avenue Therapeutics, Inc."
418,Chimborazo
419,La Patagua
420,III de Atacama Kozan
421,Torchmark Corporation
422,Cordillera - Tenardita
423,"Waste Management, Inc."
424,Independence Holding Company
425,Biglari Holdings Inc.
426,PowerShares Nasdaq Internet Portfolio
427,Las Cenizas
428,Diageo plc
429,CMP - Romeral
430,Kopin Corporation
431,Celgene Corporation
432,"JA Solar Holdings, Co., Ltd."
433,"support.com, Inc."
434,Eagle Bulk Shipping Inc.
435,Peapack-Gladstone Financial Corporation
436,Forum Merger Corporation
437,Nuveen Municipal High Income Opportunity Fund
438,KT Corporation
439,"PrivateBancorp, Inc."
440,Spence
441,Julia
442,Cerro Imán
443,Inseego Corp.
444,iPath US Treasury Long Bond Bear ETN
445,Franke
446,Los Bronces
447,L.B. Foster Company
448,"Gabelli Equity Trust, Inc. (The)"
449,Old Republic International Corporation
450,Johnson & Johnson
451,Coirón
452,Great Plains Energy Inc
453,Kraton Corporation
454,Pirquitas
455,Enel Generacion Chile S.A.
456,Punitaqui
457,"Silicon Laboratories, Inc."
458,Los Bronces
459,"Discovery Communications, Inc."
460,Romeral
461,Regal Entertainment Group
462,"Ellie Mae, Inc."
463,El Teniente
464,EPR Properties
465,ACF - Lagunas
466,Jerónimo
467,Comcast Corporation
468,"Waste Management, Inc."
469,"Cleveland BioLabs, Inc."
470,Special Opportunities Fund Inc.
471,Caserones
472,Sierra Miranda
473,Cerro Casale
474,"Franklin Financial Network, Inc."
475,Cerro Imán
476,SQM Salar
477,Vanguard Russell 3000 ETF
478,Lions Gate Entertainment Corporation
479,Chuquicamata
480,Janus Henderson Small Cap Growth Alpha ETF
481,"Edge Therapeutics, Inc."
482,Punitaqui
483,"Ellie Mae, Inc."
484,Del Fierro
485,Punitaqui
486,"Waste Management, Inc."
487,Moog Inc.
488,PowerShares BuyBack Achievers Portfolio
489,Lions Gate Entertainment Corporation
490,"Apple Hospitality REIT, Inc."
491,"Fiserv, Inc."
492,"Sierra Oncology, Inc."
493,"Everspin Technologies, Inc."
494,Drive Shack Inc.
495,Virco Manufacturing Corporation
496,Check-Cap Ltd.
497,GlaxoSmithKline PLC
498,The9 Limited
499,"Edge Therapeutics, Inc."
500,Peapack-Gladstone Financial Corporation
501,Envision Healthcare Corporation
502,Los Bronces
503,BlackRock Municipal Target Term Trust Inc. (The)
504,Manto Verde
505,"Chunghwa Telecom Co., Ltd."
506,E.I. du Pont de Nemours and Company
507,El Tesoro
508,Diageo plc
509,"Zynerba Pharmaceuticals, Inc."
510,SQM Salar
511,Brookfield Global Listed Infrastructure Income Fund
512,Check-Cap Ltd.
513,Algorta
514,Entegra Financial Corp.
515,"PDF Solutions, Inc."
516,La Picarda
517,CMP - Los Colorados
518,"Financial Engines, Inc."
519,Regal Entertainment Group
520,Pucobre
521,Lions Gate Entertainment Corporation
522,Pirquitas
523,Royal Caribbean Cruises Ltd.
524,JM Global Holding Company
525,"International Seaways, Inc."
526,Stamps.com Inc.
527,PrimeEnergy Corporation
528,"Biocept, Inc."
529,Lenga
530,Independence Holding Company
531,Navío
532,China Cord Blood Corporation
533,"Investors Bancorp, Inc."
534,Maganeso III de Atacama
535,Mantos Blancos
536,"Texas Capital Bancshares, Inc."
537,Cordillera - Tenardita
538,3M Company
539,EQT Corporation
540,Stamps.com Inc.
541,Corporate Asset Backed Corp CABCO
542,Faride
543,KT Corporation
544,Double Eagle Acquisition Corp.
545,Tata Motors Ltd
546,Cosayach - Soledad
547,Caupolicán
548,Novelion Therapeutics Inc.
549,Andina
550,Inacesa - El Way
551,Isla Riesco
552,Clifton Bancorp Inc.
553,"JA Solar Holdings, Co., Ltd."
554,Array BioPharma Inc.
555,First Trust Emerging Markets Small Cap AlphaDEX Fund
556,"PDF Solutions, Inc."
557,"Cleveland BioLabs, Inc."
558,"National American University Holdings, Inc."
559,"Littelfuse, Inc."
560,Dynatronics Corporation
561,Dorado
562,"Pepsico, Inc."
563,La Coipa
564,SQM - Mapocho
565,"LTC Properties, Inc."
566,Aircastle Limited
567,Array BioPharma Inc.
568,Spence
569,"Enanta Pharmaceuticals, Inc."
570,Ceragon Networks Ltd.
571,Janus Henderson Small Cap Growth Alpha ETF
572,La Coipa
573,Spence
574,Eagle Bulk Shipping Inc.
575,Cerro Bayo
576,Virco Manufacturing Corporation
577,SQM Salar
578,Chimborazo
579,"Commercial Vehicle Group, Inc."
580,Incyte Corporation
581,Colico Sur
582,SQM - Mapocho
583,"Gabelli Equity Trust, Inc. (The)"
584,Las Arenitas
585,Tres Valles
586,Cóndor
587,"Portola Pharmaceuticals, Inc."
588,"International Seaways, Inc."
589,Georgia Power Company
590,Pupunahue
591,Dynatronics Corporation
592,Salesforce.com Inc
593,"Ellie Mae, Inc."
594,SAP SE
595,Tranquilo
596,Las Piedras
597,"German American Bancorp, Inc."
598,Cerro Casale
599,SQM - Mapocho
600,"Urban One, Inc. "
601,Pupunahue
602,Caupolicán
603,Faride
604,Dynatronics Corporation
605,"Western New England Bancorp, Inc."
606,III de Atacama Kozan
607,Schwager
608,"Dupont Fabros Technology, Inc."
609,"ILG, Inc"
610,American Homes 4 Rent
611,"Chunghwa Telecom Co., Ltd."
612,Sierra Gorda
613,Candelaria
614,"Adams Diversified Equity Fund, Inc."
615,"Franklin Financial Network, Inc."
616,PureFunds ETFx HealthTech ETF
617,"Western New England Bancorp, Inc."
618,Enel Generacion Chile S.A.
619,Refugio
620,El Toqui
621,"Hub Group, Inc."
622,Bright Scholar Education Holdings Limited
623,Romeral
624,Schwager
625,Yelp Inc.
626,El Peñón
627,Candelaria
628,"UMH Properties, Inc."
629,Janus Henderson Small Cap Growth Alpha ETF
630,"Midland States Bancorp, Inc."
631,Isla Riesco
632,"Xenia Hotels & Resorts, Inc."
633,U.S. Energy Corp.
634,R.R. Donnelley & Sons Company
635,"Commercial Vehicle Group, Inc."
636,Isla Guarello
637,AmerisourceBergen Corporation (Holding Co)
638,PIMCO Dynamic Credit and Mortgage Income Fund
639,Intracampos
640,"Ocular Therapeutix, Inc."
641,La Patagua
642,"NextEra Energy, Inc."
643,"Fiserv, Inc."
644,SQM - Pampa Blanca
645,"Nutanix, Inc."
646,Dollar General Corporation
647,Carola
648,CVS Health Corporation
649,Quiborax
650,Check-Cap Ltd.
651,"Sportsman's Warehouse Holdings, Inc."
652,"Zynerba Pharmaceuticals, Inc."
653,ACF - Lagunas
654,"Hawkins, Inc."
655,STMicroelectronics N.V.
656,Las Arenitas
657,Blackstone GSO Long Short Credit Income Fund
658,Candelaria
659,El Soldado
660,Can Can
661,U.S. Energy Corp.
662,"Biocept, Inc."
663,Jazz Pharmaceuticals plc
664,EQT Corporation
665,Northern Trust Corporation
666,Tres Valles
667,Victoria
668,Azul S.A.
669,"FairPoint Communications, Inc."
670,Royal Caribbean Cruises Ltd.
671,"Commerce Bancshares, Inc."
672,III de Atacama Kozan
673,BlackRock Municipal Target Term Trust Inc. (The)
674,"Zynerba Pharmaceuticals, Inc."
675,Arlington Asset Investment Corp
676,Las Arenitas
677,"MasTec, Inc."
678,TICC Capital Corp.
679,Merus Labs International Inc.
680,Caserones
681,El Tesoro
682,PIMCO Dynamic Credit and Mortgage Income Fund
683,Data Processing
684,Pirquitas
685,NVIDIA Corporation
686,Pure Cycle Corporation
687,Torchmark Corporation
688,Las Cenizas
689,Intracampos
690,Northern Trust Corporation
691,Randgold Resources Limited
692,"First Hawaiian, Inc."
693,"First Hawaiian, Inc."
694,Intracampos
695,La Patagua
696,"MasTec, Inc."
697,Cambrex Corporation
698,Pullalli
699,Catamutún
700,Yelp Inc.
701,PIMCO Dynamic Credit and Mortgage Income Fund
702,B.O.S. Better Online Solutions
703,Unisys Corporation
704,Old Republic International Corporation
705,Orbotech Ltd.
706,Nuveen Floating Rate Income Fund
707,Peapack-Gladstone Financial Corporation
708,Trongol
709,Caleta El Cobre
710,Laguna Siren
711,Cosayach - Soledad
712,Novelion Therapeutics Inc.
713,"Portola Pharmaceuticals, Inc."
714,Isla Guarello
715,Can Can
716,Tranquilo
717,Mantos de la Luna
718,"Taiwan Fund, Inc. (The)"
719,Esterline Technologies Corporation
720,La Productora
721,Punta de Lobos - Kanita
722,Cóndor
723,La Patagua
724,SL Green Realty Corporation
725,Dollar General Corporation
726,Pascua
727,Spence
728,Celgene Corporation
729,Novanta Inc.
730,"AMC Entertainment Holdings, Inc."
731,Fidus Investment Corporation
732,"Financial Engines, Inc."
733,El Guindo
734,"Gabelli Equity Trust, Inc. (The)"
735,iShares MSCI EM ESG Optimized ETF
736,CMP - Algarrobo
737,Neff Corporation
738,Marine Petroleum Trust
739,Trongol
740,Choquelimpie
741,Global Partner Acquisition Corp.
742,Tres Valles
743,Anheuser-Busch Inbev SA
744,RenaissanceRe Holdings Ltd.
745,"Meridian Waste Solutions, Inc"
746,Quiborax - Ascotán
747,Celite - Tilviche
748,Refugio
749,DRDGOLD Limited
750,SCL Chemetall
751,Natl Westminster Pfd
752,United States Cellular Corporation
753,"ILG, Inc"
754,Cosayach - Soledad
755,La Productora
756,Applied DNA Sciences Inc
757,"NextEra Energy, Inc."
758,"Blackhawk Network Holdings, Inc."
759,Microsemi Corporation
760,Moog Inc.
761,Cerro Bayo
762,Can Can
763,Applied DNA Sciences Inc
764,Entegra Financial Corp.
765,EQT Corporation
766,Romeral
767,"Cogentix Medical, Inc."
768,"Zynerba Pharmaceuticals, Inc."
769,Pinatolca
770,"RiverNorth Opportunities Fund, Inc."
771,Los Pelambres
772,PureFunds ETFx HealthTech ETF
773,Check-Cap Ltd.
774,"Sierra Oncology, Inc."
775,Candelaria
776,"PrivateBancorp, Inc."
777,"Mid-America Apartment Communities, Inc."
778,Esterline Technologies Corporation
779,Zion Oil & Gas Inc
780,Julia
781,Faride
782,"support.com, Inc."
783,First Trust International Multi-Asset Diversified Income Index
784,Cordillera - Tenardita
785,Mantos de la Luna
786,Microsemi Corporation
787,"Gabelli Equity Trust, Inc. (The)"
788,"Kura Oncology, Inc."
789,"Chunghwa Telecom Co., Ltd."
790,Kilroy Realty Corporation
791,Cerro Colorado
792,"Arista Networks, Inc."
793,"MiMedx Group, Inc"
794,BRF S.A.
795,Mantos de la Luna
796,BLDRS Developed Markets 100 ADR Index Fund
797,"Forterra, Inc."
798,GlaxoSmithKline PLC
799,Cerro Imán
800,Punitaqui
801,Suncor EnergyInc.
802,Silvercrest Asset Management Group Inc.
803,Gilat Satellite Networks Ltd.
804,"India Fund, Inc. (The)"
805,Fair Isaac Corporation
806,Sierra Gorda
807,"HD Supply Holdings, Inc."
808,Tata Motors Ltd
809,Las Piedras
810,"Under Armour, Inc."
811,Garrison Capital Inc.
812,Caleta El Cobre
813,SQM - Yumbes
814,El Guindo
815,Dynatronics Corporation
816,Diana Shipping inc.
817,"FSB Bancorp, Inc."
818,ACF - Lagunas
819,Kamada Ltd.
820,Crawford & Company
821,Ministro Hales
822,PTC Inc.
823,"Clear Channel Outdoor Holdings, Inc."
824,Costamare Inc.
825,Ministro Hales
826,Caleta El Cobre
827,DRDGOLD Limited
828,Refugio
829,BLDRS Developed Markets 100 ADR Index Fund
830,"Urban One, Inc. "
831,Pullalli
832,Tranquilo
833,Esterline Technologies Corporation
834,"Xenia Hotels & Resorts, Inc."
835,"Biocept, Inc."
836,Guaranty Bancorp
837,PTC Inc.
838,ACF - Lagunas
839,El Soldado
840,"AMC Entertainment Holdings, Inc."
841,Nabriva Therapeutics AG
842,First Trust Emerging Markets Small Cap AlphaDEX Fund
843,Microsemi Corporation
844,"Safe Bulkers, Inc"
845,Del Fierro
846,"ILG, Inc"
847,Clifton Bancorp Inc.
848,Zaldívar
849,Unisys Corporation
850,Mantos Blancos
851,Las Pataguas
852,Mantos de la Luna
853,Janus Henderson Small Cap Growth Alpha ETF
854,Fertón
855,Cosayach - Negreiros
856,"Forterra, Inc."
857,"Gray Television, Inc."
858,Catamutún
859,Tranquilo
860,Galectin Therapeutics Inc.
861,Quebrada Blanca
862,Walter Investment Management Corp.
863,"Nustar GP Holdings, LLC"
864,"Destination XL Group, Inc."
865,SQM - Pedro de Valdivia
866,Catamutún
867,Trongol
868,Del Fierro
869,Patriot National Bancorp Inc.
870,Central Garden & Pet Company
871,Cambrex Corporation
872,El Toqui
873,La Patagua
874,Andina
875,"Investors Bancorp, Inc."
876,Ceragon Networks Ltd.
877,Northern Trust Corporation
878,"China Lodging Group, Limited"
879,"International Seaways, Inc."
880,Ceragon Networks Ltd.
881,Cosayach - Cala Cala
882,Dorado
883,Data Processing
884,"Taiwan Fund, Inc. (The)"
885,The9 Limited
886,"UMH Properties, Inc."
887,Algorta
888,Walter Investment Management Corp.
889,Azul S.A.
890,"Cogentix Medical, Inc."
891,Caleta El Cobre
892,La Perla
893,United States Cellular Corporation
894,"Biocept, Inc."
895,3M Company
896,Biglari Holdings Inc.
897,Neff Corporation
898,Navío
899,"Impax Laboratories, Inc."
900,SQM - Mapocho
901,Marte Lobo
902,Isla Riesco
903,Celgene Corporation
904,"Western New England Bancorp, Inc."
905,Cambrex Corporation
906,"Financial Engines, Inc."
907,Maganeso III de Atacama
908,Data Processing
909,Orbotech Ltd.
910,"Meridian Waste Solutions, Inc"
911,"Discovery Communications, Inc."
912,"Universal Stainless & Alloy Products, Inc."
913,Los Bronces
914,"Sportsman's Warehouse Holdings, Inc."
915,"Commerce Bancshares, Inc."
916,Collahuasi
917,Mantos Blancos
918,BLDRS Developed Markets 100 ADR Index Fund
919,U.S. Energy Corp.
920,Central Garden & Pet Company
921,Zaldívar
922,iShares MSCI EM ESG Optimized ETF
923,Moog Inc.
924,"AMC Entertainment Holdings, Inc."
925,Novanta Inc.
926,TICC Capital Corp.
927,"SeaChange International, Inc."
928,Arlington Asset Investment Corp
929,"Gabelli Equity Trust, Inc. (The)"
930,"Shutterstock, Inc."
931,Alhué
932,"Waste Management, Inc."
933,"Kayne Anderson Energy Total Return Fund, Inc."
934,Tekla Healthcare Opportunies Fund
935,"Discovery Communications, Inc."
936,Bed Bath & Beyond Inc.
937,iShares 20+ Year Treasury Bond ETF
938,Yahoo! Inc.
939,"NextEra Energy, Inc."
940,Flor de Los Andes
941,The Community Financial Corporation
942,DRDGOLD Limited
943,Royal Caribbean Cruises Ltd.
944,Andina
945,Tranquilo
946,Carvana Co.
947,ACF - Lagunas
948,Cordillera - Tenardita
949,Radomiro Tomic
950,Colico Sur
951,"Diamond Hill Investment Group, Inc."
952,Kopin Corporation
953,Mantos Blancos
954,Toll Brothers Inc.
955,Cosayach - Negreiros
956,"Safe Bulkers, Inc"
957,El Teniente
958,SL Green Realty Corporation
959,Franke
960,CMP - Cerro Negro Norte
961,Dollar General Corporation
962,"Sierra Oncology, Inc."
963,iShares MSCI EM ESG Optimized ETF
964,Brookfield Global Listed Infrastructure Income Fund
965,El Guindo
966,AbbVie Inc.
967,Arch Capital Group Ltd.
968,Quiborax - Ascotán
969,"LM Funding America, Inc."
970,"Enanta Pharmaceuticals, Inc."
971,Crawford & Company
972,Costamare Inc.
973,Lions Gate Entertainment Corporation
974,Tekla Healthcare Opportunies Fund
975,B.O.S. Better Online Solutions
976,3M Company
977,Global Partner Acquisition Corp.
978,PowerShares Nasdaq Internet Portfolio
979,Guanaco
980,Marine Petroleum Trust
981,"Chunghwa Telecom Co., Ltd."
982,PIMCO Dynamic Credit and Mortgage Income Fund
983,Caleta El Cobre
984,"Taiwan Fund, Inc. (The)"
985,Gabriela Mistral
986,"XO Group, Inc."
987,Novanta Inc.
988,"CenterPoint Energy, Inc."
989,iShares 20+ Year Treasury Bond ETF
990,Tata Motors Ltd
991,Fertón
992,El Peñón
993,SQM - María Elena
994,Check-Cap Ltd.
995,Quebrada Blanca
996,Elkhorn Commodity Rotation Strategy ETF
997,BLDRS Developed Markets 100 ADR Index Fund
998,SQM - Pedro de Valdivia
