número,nombre
75773-26740-LB,Celite - Tilviche
34339-73469-DD,PureFunds ETFx HealthTech ETF
54011-96023-OK,RenaissanceRe Holdings Ltd.
2244-72747-GF,"Sierra Oncology, Inc."
17957-30003-BH,Voya Global Equity Dividend and Premium Opportunity Fund
43389-17096-KF,Yelp Inc.
2002-34561-KI,Brookfield Global Listed Infrastructure Income Fund
63367-11983-DJ,United Insurance Holdings Corp.
2504-44007-AF,Lomas Bayas
33320-81227-MN,SQM - Nueva Victoria
62440-59688-NJ,"CatchMark Timber Trust, Inc."
68967-37715-HF,Walter Investment Management Corp.
97979-38840-LN,Esterline Technologies Corporation
38180-81955-HN,PowerShares Golden Dragon China Portfolio
63660-87622-GK,Merus Labs International Inc.
27387-51955-DB,Forum Merger Corporation
63474-79491-NL,CoreSite Realty Corporation
78084-20738-MG,"First Financial Bankshares, Inc."
91317-16257-JD,Nuveen Energy MLP Total Return Fund
68274-28037-DB,PureFunds ETFx HealthTech ETF
69769-48009-DF,Bronce de Petorca
21666-4918-LM,"Appliance Recycling Centers of America, Inc."
22045-72513-HE,Azul S.A.
75254-18562-BG,PowerShares Nasdaq Internet Portfolio
2063-7789-BO,Apollo Senior Floating Rate Fund Inc.
905-28507-GO,"Hub Group, Inc."
52333-84416-IN,"Gray Television, Inc."
12535-65611-EJ,Refugio
50401-33014-MH,"The Travelers Companies, Inc."
82881-34480-EO,HollyFrontier Corporation
11817-9928-JE,"Western Refining Logistics, LP"
61746-68518-BJ,EPR Properties
43657-42960-IA,"Urban One, Inc. "
95243-20001-GH,Regal Entertainment Group
29968-9653-BF,Arenal
21783-68052-KN,Cerro Colorado
86130-28257-LF,Nuveen Floating Rate Income Fund
28723-63556-FF,Moog Inc.
50919-91480-IB,Chimberos
48923-74984-LA,"Texas Capital Bancshares, Inc."
34895-60990-HB,"Edge Therapeutics, Inc."
93654-84379-HB,"Ocular Therapeutix, Inc."
82408-35174-LM,Don Alberto
45508-69257-DF,Lomas Bayas
79471-48968-ND,"Franklin Financial Network, Inc."
41836-71920-MK,First Trust South Korea AlphaDEX Fund
33283-88636-LE,Western Asset Bond Fund
63370-35624-OO,Pinatolca
26813-55880-DM,"JA Solar Holdings, Co., Ltd."
5183-96112-KG,Yahoo! Inc.
7010-70680-FA,Cabot Corporation
76528-76227-MG,"Spark Energy, Inc."
89919-27603-MB,Esterline Technologies Corporation
48630-14370-IB,Novanta Inc.
62543-40284-BD,NVIDIA Corporation
26814-5298-OG,"Edge Therapeutics, Inc."
76367-17037-EB,San José
65336-66323-EG,AGCO Corporation
